Player,Tm,Pos,G,PassingCmp,PassingAtt,PassingYds,PassingTD,PassingInt,RushingAtt,RushingYds,RushingY/A,RushingTD,ReceivingTgt,ReceivingRec,ReceivingYds,ReceivingY/R,ReceivingTD,FumblesFmb,FumblesFL,Scoring2PM,Scoring2PP,Name
Blake Bell,KAN,TE,16,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.5,0.0,13.0,9.0,87.0,9.67,0.0,0.0,0.0,0.0,0.0,B.Bell
Trinity Benson,DET,WR,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,10.0,103.0,10.3,0.0,0.0,0.0,0.0,0.0,T.Benson
Jason Cabinda,DET,RB,14,0.0,0.0,0.0,0.0,0.0,3.0,23.0,7.67,0.0,7.0,4.0,16.0,4.0,1.0,0.0,0.0,0.0,0.0,J.Cabinda
Noah Gray,KAN,TE,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,36.0,5.14,1.0,0.0,0.0,0.0,0.0,N.Gray
Chris Herndon,MIN,TE,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,40.0,10.0,1.0,0.0,0.0,0.0,0.0,C.Herndon
Chris Hogan,NOR,WR,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,41.0,10.25,1.0,0.0,0.0,0.0,0.0,C.Hogan
Nick Mullens,CLE,QB,1,20.0,30.0,147.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N.Mullens
Shi Smith,CAR,WR,6,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,11.0,6.0,104.0,17.33,0.0,0.0,0.0,0.0,0.0,S.Smith
Tommy Sweeney,BUF,TE,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,9.0,44.0,4.89,1.0,1.0,0.0,0.0,0.0,T.Sweeney
Auden Tate,CIN,WR,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,39.0,13.0,1.0,0.0,0.0,0.0,0.0,A.Tate
Cameron Batson,TEN,WR,4,0.0,0.0,0.0,0.0,0.0,2.0,15.0,7.5,0.0,5.0,2.0,15.0,7.5,1.0,0.0,0.0,0.0,0.0,C.Batson
Josh Gordon,KAN,WR,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,5.0,32.0,6.4,1.0,0.0,0.0,0.0,0.0,J.Gordon
JaQuan Hardy,DAL,RB,3,0.0,0.0,0.0,0.0,0.0,4.0,29.0,7.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,J.Hardy
Deon Jackson,IND,RB,9,0.0,0.0,0.0,0.0,0.0,13.0,31.0,2.38,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,D.Jackson
Andy Janovich,CLE,RB,13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,3.0,9.0,3.0,0.0,0.0,0.0,1.0,0.0,A.Janovich
